neighbourhood,neighbourhood_group,city
Bishan,Central Region,Singapore
Bukit Merah,Central Region,Singapore
Bukit Timah,Central Region,Singapore
Downtown Core,Central Region,Singapore
Geylang,Central Region,Singapore
Kallang,Central Region,Singapore
Marina East,Central Region,Singapore
Marina South,Central Region,Singapore
Marine Parade,Central Region,Singapore
Museum,Central Region,Singapore
Newton,Central Region,Singapore
Novena,Central Region,Singapore
Orchard,Central Region,Singapore
Outram,Central Region,Singapore
Queenstown,Central Region,Singapore
River Valley,Central Region,Singapore
Rochor,Central Region,Singapore
Singapore River,Central Region,Singapore
Southern Islands,Central Region,Singapore
Straits View,Central Region,Singapore
Tanglin,Central Region,Singapore
Toa Payoh,Central Region,Singapore
Bedok,East Region,Singapore
Changi,East Region,Singapore
Changi Bay,East Region,Singapore
Pasir Ris,East Region,Singapore
Paya Lebar,East Region,Singapore
Tampines,East Region,Singapore
Ang Mo Kio,North-East Region,Singapore
Hougang,North-East Region,Singapore
North-Eastern Islands,North-East Region,Singapore
Punggol,North-East Region,Singapore
Seletar,North-East Region,Singapore
Sengkang,North-East Region,Singapore
Serangoon,North-East Region,Singapore
Central Water Catchment,North Region,Singapore
Lim Chu Kang,North Region,Singapore
Mandai,North Region,Singapore
Sembawang,North Region,Singapore
Simpang,North Region,Singapore
Sungei Kadut,North Region,Singapore
Woodlands,North Region,Singapore
Yishun,North Region,Singapore
Boon Lay,West Region,Singapore
Bukit Batok,West Region,Singapore
Bukit Panjang,West Region,Singapore
Choa Chu Kang,West Region,Singapore
Clementi,West Region,Singapore
Jurong East,West Region,Singapore
Jurong West,West Region,Singapore
Pioneer,West Region,Singapore
Tengah,West Region,Singapore
Tuas,West Region,Singapore
Western Islands,West Region,Singapore
Western Water Catchment,West Region,Singapore
Central & Western,Hong Kong Island,Hong Kong
Eastern,Hong Kong Island,Hong Kong
Islands,Islands,Hong Kong
Kowloon City,Kowloon,Hong Kong
Kwai Tsing,New Territories,Hong Kong
Kwun Tong,Kowloon,Hong Kong
North,New Territories,Hong Kong
Sai Kung,New Territories,Hong Kong
Sham Shui Po,Kowloon,Hong Kong
Sha Tin,New Territories,Hong Kong
Southern,Hong Kong Island,Hong Kong
Tai Po,New Territories,Hong Kong
Tsuen Wan,New Territories,Hong Kong
Tuen Mun,New Territories,Hong Kong
Wan Chai,Hong Kong Island,Hong Kong
Wong Tai Sin,Kowloon,Hong Kong
Yau Tsim Mong,Kowloon,Hong Kong
Yuen Long,New Territories,Hong Kong
Allerton,Bronx,New York
Baychester,Bronx,New York
Belmont,Bronx,New York
Bronxdale,Bronx,New York
Castle Hill,Bronx,New York
City Island,Bronx,New York
Claremont Village,Bronx,New York
Clason Point,Bronx,New York
Concourse,Bronx,New York
Concourse Village,Bronx,New York
Co-op City,Bronx,New York
Country Club,Bronx,New York
Eastchester,Bronx,New York
East Morrisania,Bronx,New York
Edenwald,Bronx,New York
Fieldston,Bronx,New York
Fordham,Bronx,New York
Highbridge,Bronx,New York
Hunts Point,Bronx,New York
Kingsbridge,Bronx,New York
Longwood,Bronx,New York
Melrose,Bronx,New York
Morrisania,Bronx,New York
Morris Heights,Bronx,New York
Morris Park,Bronx,New York
Mott Haven,Bronx,New York
Mount Eden,Bronx,New York
Mount Hope,Bronx,New York
North Riverdale,Bronx,New York
Norwood,Bronx,New York
Olinville,Bronx,New York
Parkchester,Bronx,New York
Pelham Bay,Bronx,New York
Pelham Gardens,Bronx,New York
Port Morris,Bronx,New York
Riverdale,Bronx,New York
Schuylerville,Bronx,New York
Soundview,Bronx,New York
Spuyten Duyvil,Bronx,New York
Throgs Neck,Bronx,New York
Tremont,Bronx,New York
Unionport,Bronx,New York
University Heights,Bronx,New York
Van Nest,Bronx,New York
Wakefield,Bronx,New York
Westchester Square,Bronx,New York
West Farms,Bronx,New York
Williamsbridge,Bronx,New York
Woodlawn,Bronx,New York
Bath Beach,Brooklyn,New York
Bay Ridge,Brooklyn,New York
Bedford-Stuyvesant,Brooklyn,New York
Bensonhurst,Brooklyn,New York
Bergen Beach,Brooklyn,New York
Boerum Hill,Brooklyn,New York
Borough Park,Brooklyn,New York
Brighton Beach,Brooklyn,New York
Brooklyn Heights,Brooklyn,New York
Brownsville,Brooklyn,New York
Bushwick,Brooklyn,New York
Canarsie,Brooklyn,New York
Carroll Gardens,Brooklyn,New York
Clinton Hill,Brooklyn,New York
Cobble Hill,Brooklyn,New York
Columbia St,Brooklyn,New York
Coney Island,Brooklyn,New York
Crown Heights,Brooklyn,New York
Cypress Hills,Brooklyn,New York
Downtown Brooklyn,Brooklyn,New York
DUMBO,Brooklyn,New York
Dyker Heights,Brooklyn,New York
East Flatbush,Brooklyn,New York
East New York,Brooklyn,New York
Flatbush,Brooklyn,New York
Flatlands,Brooklyn,New York
Fort Greene,Brooklyn,New York
Fort Hamilton,Brooklyn,New York
Gerritsen Beach,Brooklyn,New York
Gowanus,Brooklyn,New York
Gravesend,Brooklyn,New York
Greenpoint,Brooklyn,New York
Kensington,Brooklyn,New York
Manhattan Beach,Brooklyn,New York
Midwood,Brooklyn,New York
Mill Basin,Brooklyn,New York
Navy Yard,Brooklyn,New York
Park Slope,Brooklyn,New York
Prospect Heights,Brooklyn,New York
Prospect-Lefferts Gardens,Brooklyn,New York
Red Hook,Brooklyn,New York
Sea Gate,Brooklyn,New York
Sheepshead Bay,Brooklyn,New York
South Slope,Brooklyn,New York
Sunset Park,Brooklyn,New York
Vinegar Hill,Brooklyn,New York
Williamsburg,Brooklyn,New York
Windsor Terrace,Brooklyn,New York
Battery Park City,Manhattan,New York
Chelsea,Manhattan,New York
Chinatown,Manhattan,New York
Civic Center,Manhattan,New York
East Harlem,Manhattan,New York
East Village,Manhattan,New York
Financial District,Manhattan,New York
Flatiron District,Manhattan,New York
Gramercy,Manhattan,New York
Greenwich Village,Manhattan,New York
Harlem,Manhattan,New York
Hell's Kitchen,Manhattan,New York
Inwood,Manhattan,New York
Kips Bay,Manhattan,New York
Little Italy,Manhattan,New York
Lower East Side,Manhattan,New York
Marble Hill,Manhattan,New York
Midtown,Manhattan,New York
Morningside Heights,Manhattan,New York
Murray Hill,Manhattan,New York
NoHo,Manhattan,New York
Nolita,Manhattan,New York
Roosevelt Island,Manhattan,New York
SoHo,Manhattan,New York
Stuyvesant Town,Manhattan,New York
Theater District,Manhattan,New York
Tribeca,Manhattan,New York
Two Bridges,Manhattan,New York
Upper East Side,Manhattan,New York
Upper West Side,Manhattan,New York
Washington Heights,Manhattan,New York
West Village,Manhattan,New York
Arverne,Queens,New York
Astoria,Queens,New York
Bayside,Queens,New York
Bayswater,Queens,New York
Bay Terrace,Queens,New York
Belle Harbor,Queens,New York
Bellerose,Queens,New York
Breezy Point,Queens,New York
Briarwood,Queens,New York
Cambria Heights,Queens,New York
College Point,Queens,New York
Corona,Queens,New York
Ditmars Steinway,Queens,New York
Douglaston,Queens,New York
East Elmhurst,Queens,New York
Edgemere,Queens,New York
Elmhurst,Queens,New York
Far Rockaway,Queens,New York
Flushing,Queens,New York
Forest Hills,Queens,New York
Fresh Meadows,Queens,New York
Glendale,Queens,New York
Glen Oaks,Queens,New York
Hollis,Queens,New York
Hollis Hills,Queens,New York
Holliswood,Queens,New York
Howard Beach,Queens,New York
Jackson Heights,Queens,New York
Jamaica,Queens,New York
Jamaica Estates,Queens,New York
Jamaica Hills,Queens,New York
Kew Gardens,Queens,New York
Kew Gardens Hills,Queens,New York
Laurelton,Queens,New York
Little Neck,Queens,New York
Long Island City,Queens,New York
